date,group_size,avg_max_temp,avg_min_temp,avg_mean_temp,avg_total_precip,degree_days
1872-03-24,2,-1.15,-8.05,-4.65,10.3,0.0
1872-03-25,2,5.3,-6.4,-0.55,1.65,0.0
1872-03-26,2,4.4,-9.45,-2.55,0.0,0.0
1872-03-27,2,3.6,-6.4,-1.4,2.15,0.0
1872-03-28,2,4.2,-0.3,1.95,0.0,0.0
1872-03-29,2,2.25,-5.85,-1.85,0.0,0.0
1872-03-30,2,1.95,-7.2,-2.65,0.0,0.0
1872-03-31,2,-0.3,-10.0,-5.15,5.7,0.0
1872-04-01,2,0.25,-5.0,-2.4,14.85,0.0
1872-04-02,2,3.6,-3.3,0.15,0.5,0.0
1872-04-03,2,5.55,-2.75,1.4,0.25,0.0
1872-04-04,2,5.85,-0.3,2.8,0.0,0.0
1872-04-05,2,6.4,-0.55,2.95,0.0,0.0
1872-04-06,2,4.75,-5.0,-0.1,0.0,0.0
1872-04-07,2,5.85,-3.9,1.0,0.0,0.0
1872-04-08,2,9.2,-3.05,3.1,0.75,0.0
1872-04-09,2,8.05,1.95,5.0,6.6,0.0
1872-04-10,2,7.2,1.4,4.35,8.5,0.0
1872-04-11,2,6.65,2.2,4.45,0.15,0.0
1872-04-12,2,8.6,-1.1,3.8,0.9,0.0
1872-04-13,2,6.1,1.15,3.65,6.25,0.0
1872-04-14,2,6.1,-0.85,2.65,0.0,0.0
1872-04-15,2,7.25,0.85,4.1,0.0,0.0
1872-04-16,2,7.25,-0.85,3.25,0.0,0.0
1872-04-17,2,7.75,-0.85,3.45,0.0,0.0
1872-04-18,2,11.15,-1.4,4.9,0.0,0.0
1872-04-19,2,11.4,0.0,5.75,0.0,0.0
1872-04-20,2,14.7,-1.95,6.4,0.0,0.0
1872-04-21,2,10.55,1.7,6.15,0.0,0.0
1872-04-22,2,11.65,-0.6,5.55,4.55,0.0
1872-04-23,2,7.8,0.6,4.2,9.55,0.0
1872-04-24,2,4.45,-2.75,0.85,1.25,0.0
1872-04-25,2,8.35,1.1,4.75,0.75,0.0
1872-04-26,2,11.15,1.1,6.15,0.65,0.0
1872-04-27,2,9.15,1.4,5.3,0.0,0.0
1872-04-28,2,9.15,0.3,4.75,0.0,0.0
1872-04-29,2,8.6,1.95,5.3,0.65,0.0
